EventTitle,URL
Jacare vs Brunson 2,https://www.ufc.com/event/ufc-fight-night-charlotte-january-27-2018
Miocic vs Ngannou,https://www.ufc.com/event/ufc-220
Stephens vs Choi,https://www.ufc.com/event/ufc-fight-night-st-louis-january-14-2018
Cyborg vs Holm,https://www.ufc.com/event/ufc-219
Lawler vs Dos Anjos,https://www.ufc.com/event/ufc-fight-night-winnipeg-dec-16-2017
Swanson vs Ortega,https://www.ufc.com/event/ufc-fight-night-fresno-dec-9-2017
Holloway vs Aldo 2,https://www.ufc.com/event/ufc-218
Montano vs Modafferi,https://www.ufc.com/event/the-ultimate-fighter-finale-dec-1-2017
Bisping vs Gastelum,https://www.ufc.com/event/ufc-fight-night-shanghai-nov-25-2017
Werdum vs Tybura,https://www.ufc.com/event/ufc-fight-night-sydney-2017
Poirier vs Pettis,https://www.ufc.com/event/ufc-fight-night-norfolk-nov-11-2017
Bisping vs St-Pierre,https://www.ufc.com/event/ufc-217
Brunson vs Machida,https://www.ufc.com/event/ufc-fight-night-brazil-oct-28-2017
Cerrone vs Till,https://www.ufc.com/event/ufc-fight-night-poland-2017
Ferguson vs Lee,https://www.ufc.com/event/ufc-216
Saint Preux vs Okami,https://www.ufc.com/event/ufc-fight-night-japan-2017
Rockhold vs Branch,https://www.ufc.com/event/ufc-fight-night-pittsburgh-2017
Nunes vs Shevchenko 2,https://www.ufc.com/event/ufc-215
Volkov vs Struve,https://www.ufc.com/event/ufc-fight-night-rotterdam-2017
Pettis vs Moreno,https://www.ufc.com/event/ufc-fight-night-mexico-city-2017
Cormier vs Jones 2,https://www.ufc.com/event/ufc-214
Weidman vs Gastelum,https://www.ufc.com/event/ufc-fight-night-long-island-2017
Nelson vs Ponzinibbio,https://www.ufc.com/event/ufc-fight-night-glasgow-2017
Romero vs Whittaker,https://www.ufc.com/event/ufc-213
Johnson vs Gaethje,https://www.ufc.com/event/the-ultimate-fighter-redemption-finale
Chiesa vs Lee,https://www.ufc.com/event/ufc-fight-night-oklahoma-city-2017
Holm vs Correia,https://www.ufc.com/event/ufc-fight-night-singapore-2017
Lewis vs Hunt,https://www.ufc.com/event/ufc-fight-night-auckland-2017
Aldo vs Holloway,https://www.ufc.com/event/ufc-212
Gustafsson vs Teixeira,https://www.ufc.com/event/ufc-fight-night-stockholm-2017
Miocic vs Dos Santos 2,https://www.ufc.com/event/ufc-211
Swanson vs Lobov,https://www.ufc.com/event/ufc-fight-night-nashville-2017
Johnson vs Reis,https://www.ufc.com/event/ufc-fight-night-kansas-city-2017
